,温氏股份,益生股份,仙坛股份,圣农发展,民和股份,正邦科技,天邦股份,牧原股份,上证指数,华英农业,yhat
2019-06-21 10:43:51,37.5,19.46,15.6,25.0,26.76,17.6,12.98,59.63,15.0,6.65,6.857987254245575
2019-06-21 10:43:53,37.52,19.46,15.61,25.0,26.76,17.61,12.98,59.62,15.0,6.65,6.858917570564069
2019-06-21 10:43:55,37.54,19.46,15.6,25.0,26.76,17.6,12.95,59.63,15.0,6.66,6.859745050043294
2019-06-21 10:43:57,37.54,19.46,15.6,25.0,26.76,17.6,12.95,59.63,15.0,6.66,6.859745050043294
2019-06-21 10:43:59,37.52,19.46,15.6,25.0,26.76,17.6,12.98,59.62,15.0,6.66,6.859510541237826
2019-06-21 10:44:00,37.52,19.46,15.6,25.0,26.76,17.6,12.98,59.62,15.0,6.66,6.859510541237826
2019-06-21 10:44:03,37.54,19.46,15.6,25.0,26.75,17.61,12.96,59.65,15.0,6.66,6.8579872059780485
2019-06-21 10:44:05,37.59,19.46,15.6,24.99,26.76,17.6,12.97,59.65,15.0,6.66,6.863211438466976
2019-06-21 10:44:07,37.59,19.46,15.6,24.99,26.76,17.6,12.97,59.65,15.0,6.66,6.863211438466976
2019-06-21 10:44:09,37.54,19.46,15.6,25.0,26.76,17.59,12.97,59.65,15.0,6.66,6.860673572873743
2019-06-21 10:44:11,37.58,19.46,15.6,25.0,26.76,17.62,12.98,59.65,15.0,6.66,6.861224568244804
2019-06-21 10:44:12,37.58,19.46,15.6,25.0,26.76,17.62,12.98,59.65,15.0,6.66,6.861224568244804
2019-06-21 10:44:14,37.59,19.46,15.6,24.99,26.76,17.62,12.97,59.67,15.0,6.66,6.8612136547786555
2019-06-21 10:44:16,37.59,19.46,15.6,24.99,26.76,17.62,12.97,59.67,15.0,6.66,6.8612136547786555
2019-06-21 10:44:18,37.57,19.46,15.6,25.0,26.75,17.62,12.95,59.66,15.0,6.66,6.858664891418034
2019-06-21 10:44:23,37.54,19.47,15.59,25.0,26.74,17.62,12.96,59.66,15.0,6.66,6.856086282613475
2019-06-21 10:44:26,37.59,19.47,15.59,25.0,26.76,17.6,12.93,59.64,15.0,6.66,6.862158297309277
2019-06-21 10:44:28,37.57,19.47,15.61,25.0,26.76,17.6,12.95,59.65,15.0,6.66,6.861590996214483
2019-06-21 10:44:30,37.57,19.47,15.61,25.0,26.76,17.6,12.95,59.65,15.0,6.66,6.861590996214483
2019-06-21 10:44:31,37.57,19.48,15.6,25.01,26.76,17.62,12.95,59.66,15.0,6.66,6.859686408763205
2019-06-21 10:44:34,37.57,19.48,15.6,25.01,26.76,17.62,12.95,59.66,15.0,6.66,6.859686408763205
2019-06-21 10:44:35,37.59,19.48,15.6,25.0,26.76,17.62,12.95,59.65,15.0,6.66,6.861260004567768
2019-06-21 10:44:37,37.55,19.48,15.6,25.0,26.76,17.61,12.94,59.66,15.0,6.66,6.858925738078746
2019-06-21 10:44:39,37.55,19.48,15.6,25.0,26.76,17.61,12.94,59.66,15.0,6.66,6.858925738078746
2019-06-21 10:44:44,37.59,19.48,15.6,25.02,26.76,17.62,12.95,59.65,15.0,6.65,6.861159386943136
2019-06-21 10:44:46,37.59,19.48,15.6,25.02,26.76,17.62,12.95,59.65,15.0,6.65,6.861159386943136
2019-06-21 10:44:48,37.6,19.49,15.6,25.01,26.77,17.62,12.95,59.65,15.0,6.65,6.862815508044843
2019-06-21 10:44:49,37.55,19.48,15.59,25.02,26.76,17.62,12.95,59.66,15.0,6.65,6.85813591692896
2019-06-21 10:44:51,37.55,19.48,15.59,25.02,26.76,17.62,12.95,59.66,15.0,6.65,6.85813591692896
2019-06-21 10:44:54,37.53,19.48,15.59,25.02,26.77,17.61,12.95,59.66,15.0,6.65,6.858442545780282
2019-06-21 10:44:56,37.53,19.48,15.6,25.01,26.77,17.62,12.97,59.66,15.0,6.66,6.85847305261621
2019-06-21 10:44:58,37.53,19.48,15.6,25.01,26.77,17.62,12.97,59.66,15.0,6.66,6.85847305261621
2019-06-21 10:44:59,37.5,19.49,15.6,25.02,26.76,17.62,12.95,59.66,15.0,6.66,6.8551757905533215
2019-06-21 10:45:01,37.5,19.49,15.6,25.02,26.77,17.61,12.95,59.68,15.0,6.65,6.856362168685807
2019-06-21 10:45:03,37.5,19.49,15.6,25.02,26.77,17.61,12.95,59.68,15.0,6.65,6.856362168685807
2019-06-21 10:45:05,37.44,19.48,15.59,25.01,26.77,17.63,12.95,59.67,15.0,6.65,6.850820098576142
2019-06-21 10:45:07,37.44,19.48,15.59,25.01,26.77,17.63,12.95,59.67,15.0,6.65,6.850820098576142
2019-06-21 10:45:09,37.44,19.48,15.6,25.02,26.77,17.63,12.95,59.7,15.0,6.65,6.850317660652786
2019-06-21 10:45:10,37.44,19.49,15.59,25.02,26.76,17.63,12.97,59.67,15.0,6.65,6.850632335540826
2019-06-21 10:45:12,37.44,19.49,15.59,25.04,26.76,17.62,12.97,59.67,15.0,6.65,6.851316097189997
2019-06-21 10:45:14,37.43,19.49,15.59,25.04,26.76,17.62,12.97,59.7,15.0,6.65,6.850018172267969
2019-06-21 10:45:16,37.44,19.49,15.59,25.01,26.76,17.64,12.98,59.67,15.0,6.65,6.850184849428029
